feature,nan_ratio,variance
acc_y_dyn__entropy,0.0,3.7663931590738517
acc_y_dyn__log_of_energy,0.0,8.775384444657973
acc_y_dyn__rms,0.0,2643.645331814517
acc_y_dyn__no._of_zero_crossings,0.0,11.668496986124243
acc_y_dyn__mean_abs_deviation,0.0,1269.0135003073576
acc_y_dyn__quantile_0.9,0.0,4450.160433239473
acc_y_dyn__quantile_0.8,0.0,2225.0936305834593
acc_y_dyn__quantile_0.75,0.0,1570.1471662423533
acc_y_dyn__quantile_0.7,0.0,1038.0332798714628
acc_y_dyn__quantile_0.6,0.0,456.1528378590893
acc_y_dyn__quantile_0.4,0.0,411.87603499608593
acc_y_dyn__quantile_0.3,0.0,1039.5129270153395
acc_y_dyn__quantile_0.25,0.0,1621.1276525109977
acc_y_dyn__quantile_0.2,0.0,2412.1466174291872
